"","name","blitz"
"1","
                      Magnus Carlsen
                    ","
                  
                    
                    2834
                  
                "
"2","
                      Ding Liren
                    ","
                  
                    
                    2829
                  
                "
"3","
                      Ian Nepomniachtchi
                    ","
                  
                    
                    2766
                  
                "
"4","
                      Alireza Firouzja
                    ","
                  
                    
                    2745
                  
                "
"5","
                      Hikaru Nakamura
                    ","
                  
                    
                    2795
                  
                "
"6","
                      Fabiano Caruana
                    ","
                  
                    
                    2747
                  
                "
"7","
                      Anish Giri
                    ","
                  
                    
                    2710
                  
                "
"8","
                      Wesley So
                    ","
                  
                    
                    2800
                  
                "
"9","
                      Viswanathan Anand
                    ","
                  
                    
                    2731
                  
                "
"10","
                      Sergey Karjakin
                    ","
                  
                    
                    2736
                  
                "
"11","
                      Teimour Radjabov
                    ","
                  
                    
                    2718
                  
                "
"12","
                      Alexander Grischuk
                    ","
                  
                    
                    2759
                  
                "
"13","
                      Leinier Dominguez Perez
                    ","
                  
                    
                    2703
                  
                "
"14","
                      Shakhriyar Mamedyarov
                    ","
                  
                    
                    2747
                  
                "
"15","
                      Richard Rapport
                    ","
                  
                    
                    2802
                  
                "
"16","
                      Maxime Vachier-Lagrave
                    ","
                  
                    
                    2775
                  
                "
"17","
                      Levon Aronian
                    ","
                  
                    
                    2720
                  
                "
"18","
                      Jan-Krzysztof Duda
                    ","
                  
                    
                    2791
                  
                "
"19","
                      Vidit Santosh Gujrathi
                    ","
                  
                    
                    2617
                  
                "
"20","
                      Dmitry Andreikin
                    ","
                  
                    
                    2634
                  
                "
"21","
                      Veselin Topalov
                    ","
                  
                    
                    2627
                  
                "
"22","
                      Le Quang Liem
                    ","
                  
                    
                    2661
                  
                "
"23","
                      Yu Yangyi
                    ","
                  
                    
                    2743
                  
                "
"24","
                      Nikita Vitiugov
                    ","
                  
                    
                    2622
                  
                "
"25","
                      Gukesh D
                    ","
                  
                    
                    2223
                  
                "
"26","
                      Wei Yi
                    ","
                  
                    
                    2716
                  
                "
"27","
                      Parham Maghsoodloo
                    ","
                  
                    
                    2641
                  
                "
"28","
                      Wang Hao
                    ","
                  
                    
                    2720
                  
                "
"29","
                      Arjun Erigaisi
                    ","
                  
                    
                    2450
                  
                "
"30","
                      Francisco Vallejo Pons
                    ","
                  
                    
                    2682
                  
                "
"31","
                      Pentala Harikrishna
                    ","
                  
                    
                    2646
                  
                "
"32","
                      Nodirbek Abdusattorov
                    ","
                  
                    
                    2676
                  
                "
"33","
                      Sanan Sjugirov
                    ","
                  
                    
                    2609
                  
                "
"34","
                      Samuel Shankland
                    ","
                  
                    
                    2657
                  
                "
"35","
                      Daniil Dubov
                    ","
                  
                    
                    2712
                  
                "
"36","
                      Pavel Eljanov
                    ","
                  
                    
                    2653
                  
                "
"37","
                      Ray Robson
                    ","
                  
                    
                    2596
                  
                "
"38","
                      Vladislav Artemiev
                    ","
                  
                    
                    2727
                  
                "
"39","
                      Hans Moke Niemann
                    ","
                  
                    
                    2599
                  
                "
"40","
                      Bogdan-Daniel Deac
                    ","
                  
                    
                    2607
                  
                "
"41","
                      Ivan Cheparinov
                    ","
                  
                    
                    2652
                  
                "
"42","
                      Gabriel Sargissian
                    ","
                  
                    
                    2639
                  
                "
"43","
                      Vincent Keymer
                    ","
                  
                    
                    2590
                  
                "
"44","
                      Bu Xiangzhi
                    ","
                  
                    
                    2618
                  
                "
"45","
                      Radoslaw Wojtaszek
                    ","
                  
                    
                    2636
                  
                "
"46","
                      Jorden van Foreest
                    ","
                  
                    
                    2645
                  
                "
"47","
                      Evgeny Tomashevsky
                    ","
                  
                    
                    2628
                  
                "
"48","
                      Anton Korobov
                    ","
                  
                    
                    2642
                  
                "
"49","
                      Jeffery Xiong
                    ","
                  
                    
                    2727
                  
                "
"50","
                      Vladimir Fedoseev
                    ","
                  
                    
                    2741
                  
                "
